"organizationId","organizationName","siteId","siteName","deviceId","deviceName","deviceUserFriendlyId","deviceTimeZoneId","latitude","longitude","serviceSubscriptionId","particulateId","displayName","scientificName","isBeta","warningConcentrationThreshold","dangerConcentrationThreshold","maximumConcentrationThreshold","tapeScanId","samplingStartTime","samplingEndTime","count","concentration"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6710","4","General Alternaria","Alternaria spp.","False","30","120","200","76799","2025-10-30T10:00:01Z","2025-10-30T16:00:12Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6710","4","General Alternaria","Alternaria spp.","False","30","120","200","76934","2025-10-31T10:00:01Z","2025-10-31T16:00:11Z","15","20,823692"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","72950","2025-10-02T15:19:44Z","2025-10-02T15:20:07Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","73089","2025-10-03T10:00:01Z","2025-10-03T16:00:13Z","1","1,3881177"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","73219","2025-10-04T10:00:01Z","2025-10-04T16:00:12Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","73348","2025-10-05T10:00:01Z","2025-10-05T16:00:10Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","73486","2025-10-06T10:00:01Z","2025-10-06T16:00:13Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","73615","2025-10-07T10:00:02Z","2025-10-07T16:00:12Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","73745","2025-10-08T10:00:01Z","2025-10-08T16:00:14Z","3","4,1641603"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","73869","2025-10-09T10:00:02Z","2025-10-09T16:00:11Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","73991","2025-10-10T10:00:01Z","2025-10-10T16:00:12Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","74119","2025-10-11T10:00:01Z","2025-10-11T16:00:11Z","0","0"
